X,Y,ADDRTYPE,FATALITIES,INATTENTIONIND,INCDATE,YEAR,INJURIES,LIGHTCOND,PEDCOUNT,PEDCYLCOUNT,PEDROWNOTGRNT,PERSONCOUNT,ROADCOND,SERIOUSINJURIES,SEVERITYCODE,SEVERITYDESC,SPEEDING,UNDERINFL,VEHCOUNT,WEATHER,PEDORBIKECOUNT
-122.3543697,47.67386527,Intersection,0,Y,2016/10/28 00:00:00+00,2016,1,Daylight,2,0,,3,Dry,0,2,Injury Collision,,N,1,Clear,2
-122.300619,47.66852575,Intersection,0,Y,2016/10/24 00:00:00+00,2016,2,Dark - Street Lights On,2,0,,3,Wet,0,2,Injury Collision,,N,1,Raining,2
-122.35396,47.66501938,Intersection,0,,2016/12/20 00:00:00+00,2016,1,Daylight,1,0,Y,2,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.3263605,47.59919276,Intersection,0,Y,2016/10/25 00:00:00+00,2016,1,Daylight,1,0,Y,2,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.3255288,47.61521875,Intersection,0,,2016/10/23 00:00:00+00,2016,1,Daylight,0,1,,2,Wet,0,2,Injury Collision,,N,1,Clear,1
-122.3438911,47.60857252,Intersection,0,Y,2016/10/26 00:00:00+00,2016,1,Dark - Street Lights On,1,0,,2,Wet,0,2,Injury Collision,,N,1,Raining,1
-122.3553063,47.69150544,Block,0,,2017/01/07 00:00:00+00,2017,1,Dusk,1,0,,3,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.324564,47.65552862,Intersection,0,,2016/12/01 00:00:00+00,2016,1,Dusk,0,1,,2,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.3255288,47.61521875,Intersection,0,,2017/01/22 00:00:00+00,2017,1,Daylight,1,1,,2,Wet,0,2,Injury Collision,,N,0,Overcast,2
-122.3066886,47.68304696,Intersection,0,,2017/01/02 00:00:00+00,2017,1,Daylight,1,0,Y,2,Dry,0,2,Injury Collision,,N,1,Clear,1
